id,loan_amnt_USD,loan_amnt_EUR,funded_amnt_USD,funded_amnt_EUR,int_rate,installment_USD,installment_EUR,total_pymnt_USD,total_pymnt_EUR,exchange_rate,issue_date,loan_status,term_months,sub_grade,verification_status,state_address
373332.0,9950.0,9038.082814338286,1000.0,9038.082814338286,0.1825,360.97,9038.082814338286,1072.82,9038.082814338286,1.100897192955017,10.0,1.0,36.0,21.0,0.0,1.0
575239.0,12000.0,10900.20037910145,12000.0,10900.20037910145,0.20989999999999998,324.58,10900.20037910145,959.75,10900.20037910145,1.100897192955017,10.0,1.0,60.0,25.0,1.0,2.0
707689.0,10000.0,8924.29980495201,10000.0,8924.29980495201,0.1366,340.13,8924.29980495201,3726.25,8924.29980495201,1.1205360889434814,2.0,1.0,36.0,13.0,1.0,0.0
709828.0,27200.0,24707.12085929662,27200.0,24707.12085929662,686165.2,553.87,24707.12085929662,68616520.0,24707.12085929662,1.100897192955017,10.0,1.0,60.0,6.0,0.0,4.0
849994.0,11400.0,10526.076488797169,11400.0,10526.076488797169,686165.2,376.09,10526.076488797169,3753.6,10526.076488797169,1.0830246210098267,3.0,0.0,36.0,10.0,0.0,1.0
1312426.0,15000.0,13496.099961290816,15000.0,13496.099961290816,0.1561,361.67,13496.099961290816,2880.35,13496.099961290816,1.1114321947097778,4.0,1.0,60.0,16.0,1.0,4.0
4526500.0,10800.0,9717.191972129389,10800.0,9717.191972129389,686165.2,328.22,9717.191972129389,2950.42,9717.191972129389,1.1114321947097778,4.0,1.0,36.0,1.0,1.0,2.0
6736790.0,18000.0,15946.200996660373,18000.0,15946.200996660373,686165.2,370.78,15946.200996660373,4432.02,15946.200996660373,1.1287955045700073,1.0,1.0,60.0,6.0,1.0,1.0
8138291.0,10350.0,9236.65029812533,1000.0,9236.65029812533,0.2299,291.72,9236.65029812533,1432.16,9236.65029812533,1.1205360889434814,2.0,0.0,60.0,26.0,1.0,4.0
8214572.0,7000.0,6247.009863466407,7000.0,6247.009863466407,686165.2,233.81,6247.009863466407,7300.41,6247.009863466407,1.1205360889434814,2.0,1.0,36.0,11.0,1.0,2.0
12606806.0,24975.0,22253.47379315773,24975.0,22253.47379315773,686165.2,549.65,22253.47379315773,3831.55,22253.47379315773,1.122296690940857,6.0,1.0,60.0,10.0,1.0,2.0
13026045.0,12000.0,10709.159765942413,12000.0,10709.159765942413,686165.2,275.07,10709.159765942413,2799.58,10709.159765942413,1.1205360889434814,2.0,1.0,60.0,13.0,1.0,2.0
14187903.0,12000.0,10709.159765942413,12000.0,10709.159765942413,0.1399,279.16,10709.159765942413,2846.33,10709.159765942413,1.1205360889434814,2.0,1.0,60.0,15.0,1.0,4.0
14428496.0,21000.0,18603.901162770435,21000.0,18603.901162770435,686165.2,471.29,18603.901162770435,5155.28,18603.901162770435,1.1287955045700073,1.0,1.0,60.0,11.0,1.0,4.0
14470171.0,21000.0,18894.539945807144,21000.0,18894.539945807144,686165.2,687.42,18894.539945807144,68616520.0,18894.539945807144,1.1114321947097778,4.0,1.0,36.0,9.0,1.0,1.0
14550531.0,32000.0,29067.201010937202,32000.0,29067.201010937202,686165.2,1005.43,29067.201010937202,3089.0,29067.201010937202,1.100897192955017,10.0,1.0,36.0,6.0,1.0,0.0
14669896.0,21500.0,19046.851190455447,21500.0,19046.851190455447,686165.2,482.51,19046.851190455447,23855.94,19046.851190455447,1.1287955045700073,1.0,1.0,60.0,11.0,1.0,1.0
15389420.0,15000.0,13850.100643154168,15000.0,13850.100643154168,0.1399,348.95,13850.100643154168,68616520.0,13850.100643154168,1.0830246210098267,3.0,0.0,60.0,14.0,1.0,2.0
16130931.0,20000.0,18247.60033603779,20000.0,18247.60033603779,0.1333,677.07,18247.60033603779,21119.05,18247.60033603779,1.0960345268249512,5.0,1.0,36.0,15.0,1.0,4.0
19137119.0,27000.0,24057.809506116464,27000.0,24057.809506116464,686165.2,586.92,24057.809506116464,4075.47,24057.809506116464,1.122296690940857,6.0,1.0,60.0,9.0,1.0,1.0
19646726.0,28000.0,24988.03945386563,28000.0,24988.03945386563,686165.2,863.54,24988.03945386563,9472.03,24988.03945386563,1.1205360889434814,2.0,1.0,36.0,4.0,0.0,3.0
22403153.0,11200.0,9995.215781546252,11200.0,9995.215781546252,686165.2,373.56,9995.215781546252,1113.03,9995.215781546252,1.1205360889434814,2.0,0.0,36.0,11.0,0.0,3.0
25276117.0,28000.0,24805.20155036058,1000.0,24805.20155036058,686165.2,587.92,24805.20155036058,7040.28,24805.20155036058,1.1287955045700073,1.0,1.0,60.0,7.0,1.0,4.0
31207716.0,35000.0,31235.049317332036,35000.0,31235.049317332036,686165.2,790.82,31235.049317332036,8674.34,31235.049317332036,1.1205360889434814,2.0,1.0,60.0,12.0,1.0,1.0
31888135.0,4950.0,4677.304687407598,4950.0,4677.304687407598,0.1999,183.94,4677.304687407598,178.44,4677.304687407598,1.0583018064498901,11.0,1.0,36.0,24.0,1.0,2.0
34462110.0,14400.0,12850.991719130894,14400.0,12850.991719130894,686165.2,480.98,12850.991719130894,5280.87,12850.991719130894,1.1205360889434814,2.0,1.0,36.0,11.0,1.0,3.0
34883768.0,10300.0,9124.770570311213,10300.0,9124.770570311213,686165.2,320.35,9124.770570311213,3839.91,9124.770570311213,1.1287955045700073,1.0,1.0,36.0,4.0,0.0,4.0
35683282.0,22400.0,19844.161240288464,22400.0,19844.161240288464,686165.2,686.44,19844.161240288464,8221.13,19844.161240288464,1.1287955045700073,1.0,1.0,36.0,2.0,1.0,0.0
36169417.0,24000.0,21261.601328880497,24000.0,21261.601328880497,0.1559,578.42,21261.601328880497,6899.47,21261.601328880497,1.1287955045700073,1.0,1.0,60.0,16.0,1.0,0.0
36201871.0,21000.0,18603.901162770435,21000.0,18603.901162770435,686165.2,639.15,18603.901162770435,7655.73,18603.901162770435,1.1287955045700073,1.0,1.0,36.0,1.0,1.0,4.0
36241014.0,20000.0,17718.001107400414,20000.0,17718.001107400414,686165.2,411.98,17718.001107400414,4934.13,17718.001107400414,1.1287955045700073,1.0,1.0,60.0,6.0,1.0,2.0
36561402.0,9600.0,8775.74352670075,9600.0,8775.74352670075,686165.2,309.72,8775.74352670075,1852.99,8775.74352670075,1.0939244031906128,7.0,1.0,36.0,8.0,1.0,2.0
36763239.0,15000.0,13288.50083055031,15000.0,13288.50083055031,0.17859999999999998,379.76,13288.50083055031,4527.35,13288.50083055031,1.1287955045700073,1.0,1.0,60.0,20.0,1.0,0.0
36802496.0,7800.0,6910.0204318861615,7800.0,6910.0204318861615,686165.2,260.53,6910.0204318861615,3120.99,6910.0204318861615,1.1287955045700073,1.0,1.0,36.0,11.0,1.0,2.0
36806601.0,20000.0,18088.30666190593,20000.0,18088.30666190593,686165.2,640.57,18088.30666190593,7665.75,18088.30666190593,1.1056866943836212,0.0,1.0,36.0,7.0,1.0,2.0
36950419.0,14000.0,12402.60077518029,14000.0,12402.60077518029,0.15990000000000001,340.38,12402.60077518029,4132.09,12402.60077518029,1.1287955045700073,1.0,1.0,60.0,17.0,1.0,1.0
37011266.0,28000.0,24805.20155036058,28000.0,24805.20155036058,0.1559,978.74,24805.20155036058,8760.16,24805.20155036058,1.1287955045700073,1.0,0.0,36.0,16.0,1.0,4.0
37051229.0,30000.0,26577.00166110062,30000.0,26577.00166110062,686165.2,667.19,26577.00166110062,8366.84,26577.00166110062,1.1287955045700073,1.0,1.0,60.0,10.0,1.0,1.0
37068509.0,7000.0,6201.300387590145,7000.0,6201.300387590145,686165.2,242.63,6201.300387590145,2905.73,6201.300387590145,1.1287955045700073,1.0,1.0,36.0,15.0,1.0,3.0
37107114.0,25000.0,22147.501384250518,25000.0,22147.501384250518,686165.2,766.12,22147.501384250518,9175.41,22147.501384250518,1.1287955045700073,1.0,1.0,36.0,2.0,1.0,2.0
37257668.0,12000.0,10630.800664440249,12000.0,10630.800664440249,686165.2,377.09,10630.800664440249,4514.16,10630.800664440249,1.1287955045700073,1.0,1.0,36.0,5.0,1.0,2.0
37267742.0,12000.0,10630.800664440249,12000.0,10630.800664440249,686165.2,377.09,10630.800664440249,4545.79,10630.800664440249,1.1287955045700073,1.0,0.0,36.0,5.0,0.0,2.0
